#File display: /Volumes/My Book Thunderbolt Duo/IPTS/IPTS-16259/Day_4_CO-4_Uptake/20160922_CO-4_Uptake_0000_0061.tiff
#ROI selected (y0,x0,height,width):(0,1234,2159,34)
#Rebin in y direction: 3
#Time stamp: 2016-09-22 18:18:26
#Delta time (s): 0.3303558826446533
#
#pixel_index, counts
239, 109.58553232499267
240, 110.44712337175277
241, 106.47412526140312
242, 105.1582497941373
243, 104.93706306434433
244, 106.31806094081777
245, 102.63056161200623
246, 101.09261107544498
247, 103.71650136548993
248, 103.95203018314766
249, 102.58350184800152
250, 102.79246600530195
251, 101.8219124671656
252, 102.56439853196504
253, 105.28915359683937
254, 105.18837937567254
255, 105.84616150036989
256, 103.89100313175084
257, 102.82262972427725
258, 102.6702778311666
259, 105.11589483607438
260, 102.41187350917046
261, 99.56346975609989
262, 101.24748241600031
263, 102.21452355663652
264, 102.23425596128502
265, 101.65096326392093
266, 102.21681328580321
267, 101.90298870114097
268, 103.83638555764824
269, 103.6641304757731
270, 101.16048186890556
271, 101.33512172441908
272, 105.3080634475904
273, 106.2132133551288
274, 103.16987942708707
275, 100.53140174017604
